,observed_value,prediction,classifier,name_short,matrix,polarity,fold,feat_sel_method,feat_sel_quantile,nb_features
11,True,True,MLP,Ureidosuccinic acid,9AA,negative,8,RandomForest,0.0,358
12,False,False,MLP,Retinoic acid,9AA,negative,8,RandomForest,0.0,358
13,False,True,MLP,S-Adenosylmethionine,9AA,negative,8,RandomForest,0.0,358
14,False,True,MLP,Serotonin,9AA,negative,8,RandomForest,0.0,358
15,False,False,MLP,Spermidine,9AA,negative,8,RandomForest,0.0,358
0,True,True,MLP,Uric acid,9AA,negative,9,RandomForest,0.0,358
1,True,True,MLP,Uridine,9AA,negative,9,RandomForest,0.0,358
2,True,True,MLP,Uridine diphosphate,9AA,negative,9,RandomForest,0.0,358
3,True,True,MLP,Uridine diphosphate glucose,9AA,negative,9,RandomForest,0.0,358
4,True,True,MLP,Uridine diphosphate glucuronic acid,9AA,negative,9,RandomForest,0.0,358
5,True,True,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9,RandomForest,0.0,358
6,True,True,MLP,Urocanic acid,9AA,negative,9,RandomForest,0.0,358
7,True,False,MLP,Valine,9AA,negative,9,RandomForest,0.0,358
8,True,True,MLP,Xanthine,9AA,negative,9,RandomForest,0.0,358
9,True,False,MLP,cis-Aconitic acid,9AA,negative,9,RandomForest,0.0,358
10,True,True,MLP,gamma-Aminobutyric acid,9AA,negative,9,RandomForest,0.0,358
11,True,False,MLP,myo-Inositol,9AA,negative,9,RandomForest,0.0,358
12,False,False,MLP,TG 15:0-18:1-15:0,9AA,negative,9,RandomForest,0.0,358
13,False,False,MLP,Tetrahydrofolic acid,9AA,negative,9,RandomForest,0.0,358
14,False,False,MLP,Thiamine,9AA,negative,9,RandomForest,0.0,358
15,False,False,MLP,alpha-tocopherol,9AA,negative,9,RandomForest,0.0,358
0,True,False,MLP,2-Oxoglutaric acid,9AA,negative,0,RandomForest,0.8333333333333333,58
1,True,True,MLP,3-Hydroxyanthranilic acid,9AA,negative,0,RandomForest,0.8333333333333333,58
2,True,True,MLP,3-Phosphoglyceric acid,9AA,negative,0,RandomForest,0.8333333333333333,58
3,True,True,MLP,"4,5-Dihydroorotic acid",9AA,negative,0,RandomForest,0.8333333333333333,58
4,True,True,MLP,4-Hydroxyproline,9AA,negative,0,RandomForest,0.8333333333333333,58
5,True,True,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0,RandomForest,0.8333333333333333,58
6,True,True,MLP,6-Phosphogluconic acid,9AA,negative,0,RandomForest,0.8333333333333333,58
7,True,True,MLP,Acetyl-CoA,9AA,negative,0,RandomForest,0.8333333333333333,58
8,True,True,MLP,Adenine,9AA,negative,0,RandomForest,0.8333333333333333,58
9,True,True,MLP,Adenosine diphosphate,9AA,negative,0,RandomForest,0.8333333333333333,58
10,True,True,MLP,Adenosine monophosphate,9AA,negative,0,RandomForest,0.8333333333333333,58
11,True,True,MLP,Arginine,9AA,negative,0,RandomForest,0.8333333333333333,58
12,True,True,MLP,Argininosuccinic acid,9AA,negative,0,RandomForest,0.8333333333333333,58
13,False,False,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0,RandomForest,0.8333333333333333,58
14,False,True,MLP,Acetoacetic acid,9AA,negative,0,RandomForest,0.8333333333333333,58
15,False,False,MLP,Acetylcarnitine,9AA,negative,0,RandomForest,0.8333333333333333,58
16,False,False,MLP,Acetylcholine,9AA,negative,0,RandomForest,0.8333333333333333,58
17,False,False,MLP,Agmatine,9AA,negative,0,RandomForest,0.8333333333333333,58
0,True,True,MLP,Ascorbic acid,9AA,negative,1,RandomForest,0.8333333333333333,58
1,True,True,MLP,Asparagine,9AA,negative,1,RandomForest,0.8333333333333333,58
2,True,True,MLP,Aspartic acid,9AA,negative,1,RandomForest,0.8333333333333333,58
3,True,True,MLP,Cardiolipin 18:1,9AA,negative,1,RandomForest,0.8333333333333333,58
4,True,False,MLP,Carnitine,9AA,negative,1,RandomForest,0.8333333333333333,58
5,True,True,MLP,Carnosine,9AA,negative,1,RandomForest,0.8333333333333333,58
6,True,True,MLP,Cer d8:1/22:0 Cer,9AA,negative,1,RandomForest,0.8333333333333333,58
7,True,True,MLP,Cholic acid,9AA,negative,1,RandomForest,0.8333333333333333,58
8,True,False,MLP,Citric acid,9AA,negative,1,RandomForest,0.8333333333333333,58
9,True,True,MLP,Citrulline,9AA,negative,1,RandomForest,0.8333333333333333,58
10,True,True,MLP,Coenzyme A,9AA,negative,1,RandomForest,0.8333333333333333,58
11,True,True,MLP,Creatine,9AA,negative,1,RandomForest,0.8333333333333333,58
12,True,False,MLP,Creatinine,9AA,negative,1,RandomForest,0.8333333333333333,58
13,False,False,MLP,Biotin,9AA,negative,1,RandomForest,0.8333333333333333,58
14,False,False,MLP,Butyric acid,9AA,negative,1,RandomForest,0.8333333333333333,58
15,False,False,MLP,CAR 16:0,9AA,negative,1,RandomForest,0.8333333333333333,58
16,False,True,MLP,Cholecalciferol,9AA,negative,1,RandomForest,0.8333333333333333,58
0,True,True,MLP,Cysteine,9AA,negative,2,RandomForest,0.8333333333333333,58
1,True,True,MLP,Cystine,9AA,negative,2,RandomForest,0.8333333333333333,58
2,True,False,MLP,Cytidine,9AA,negative,2,RandomForest,0.8333333333333333,58
3,True,True,MLP,Cytosine,9AA,negative,2,RandomForest,0.8333333333333333,58
4,True,True,MLP,Dihydroxyacetone phosphate,9AA,negative,2,RandomForest,0.8333333333333333,58
5,True,False,MLP,Dopamine,9AA,negative,2,RandomForest,0.8333333333333333,58
6,True,False,MLP,Epinephrine,9AA,negative,2,RandomForest,0.8333333333333333,58
7,True,True,MLP,Flavin adenine dinucleotide,9AA,negative,2,RandomForest,0.8333333333333333,58
8,True,True,MLP,Flavin mononucleotide,9AA,negative,2,RandomForest,0.8333333333333333,58
9,True,True,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2,RandomForest,0.8333333333333333,58
10,True,True,MLP,GM3 Ganglioside 18:0,9AA,negative,2,RandomForest,0.8333333333333333,58
11,True,True,MLP,GlcCer d18:1/18:0,9AA,negative,2,RandomForest,0.8333333333333333,58
12,False,False,MLP,Cholesterol,9AA,negative,2,RandomForest,0.8333333333333333,58
13,False,False,MLP,Cholesteryl acetate,9AA,negative,2,RandomForest,0.8333333333333333,58
14,False,False,MLP,Choline,9AA,negative,2,RandomForest,0.8333333333333333,58
15,False,True,MLP,Cyclic adenosine monophosphate,9AA,negative,2,RandomForest,0.8333333333333333,58
0,True,True,MLP,Gluconic acid,9AA,negative,3,RandomForest,0.8333333333333333,58
1,True,False,MLP,Glucosamine 6-phosphate,9AA,negative,3,RandomForest,0.8333333333333333,58
2,True,True,MLP,Glucose,9AA,negative,3,RandomForest,0.8333333333333333,58
3,True,True,MLP,Glucose 6-phosphate,9AA,negative,3,RandomForest,0.8333333333333333,58
4,True,False,MLP,Glucosyl cholesterol,9AA,negative,3,RandomForest,0.8333333333333333,58
5,True,True,MLP,Glutamic acid,9AA,negative,3,RandomForest,0.8333333333333333,58
6,True,True,MLP,Glutamine,9AA,negative,3,RandomForest,0.8333333333333333,58
7,True,True,MLP,Glutathione,9AA,negative,3,RandomForest,0.8333333333333333,58
